1.7,1,0,0
3.6,4,0,0
5.5,2,0,0
7.4,3,0,0
9.3,1,1,1.5
11.2,4,1,1.5
13.1,2,1,1.2
15.0,3,1,1.2
16.9,2,0,0
17.8,2,0,0
18.8,4,0,0
19.7,3,0,0
20.7,1,0,0
21.7,2,0,0
22.6,4,0,0
23.8,1,1,4.0
24.8,3,0,0
25.8,4,0,0
26.8,2,0,0
27.8,4,1,3.0
28.8,2,0,0
29.8,3,0,0
30.8,2,0,0
31.7,1,0,0
32.2,2,0,0
32.7,3,0,0
33.2,4,0,0
34.2,1,1,2.0
34.2,4,1,2.0
36.7,2,0,0
37.2,3,0,0
38.2,1,0,0
39.2,4,0,0
40.2,2,1,3.0
41.2,4,0,0
42.2,1,0,0
43.2,4,1,2.5
44.5,1,0,0
45.5,2,0,0
46.5,3,0,0
47.5,4,0,0
49.4,1,0,0
51.3,2,0,0
53.2,3,0,0
55.1,4,0,0
57.1,1,1,5.0
58.5,2,0,0
60.0,3,0,0
61.5,4,0,0
63.0,2,0,0
65.0,2,1,4.0
66.5,4,0,0
68.0,3,0,0
69.5,1,0,0
71.0,4,1,6.0
72.5,2,0,0
74.0,3,0,0
75.5,2,0,0
77.0,1,0,0
78.5,2,0,0
80.0,3,0,0
81.0,1,1,3.0
81.0,4,1,3.0
82.5,2,0,0
84.0,3,0,0
85.5,2,0,0
87.0,4,0,0
89.0,1,0,0
91.0,4,0,0
93.0,1,1,8.0
95.5,2,0,0
98.0,3,0,0
100.5,4,0,0
101.5,2,0,0
102.5,3,0,0
109.0,2,1,4.0
113.0,3,1,4.0
118.0,1,0,0
119.5,4,0,0
