2,1,0,0
3.3,2,0,0
3.7,3,0,0
4.2,4,0,0
4.6,2,1,0.5
5.8,3,0,0
6.3,4,0,0
6.6,1,0,0
7.1,3,1,0.3
8.1,1,0,0
8.6,2,0,0
9.1,3,0,0
9.6,1,1,2.1
11.8,2,1,0.8
12.6,3,1,1.2
14.0,4,1,0.5
14.6,3,1,0.4
15.2,2,1,0.7
16.0,4,1,1.3
17.4,3,1,0.7
18.1,2,1,0.4
18.8,1,1,0.6
19.5,4,1,1.5
21.0,3,1,0.5
21.7,2,1,0.6
22.4,3,1,0.4
23.2,2,1,2.6
23.2,3,1,5.4
30.8,1,0,0
31.2,2,0,0
31.7,4,0,0
32.2,3,0,0
32.7,1,0,0
33.2,2,0,0
33.8,4,0,0
34.3,3,0,0
34.9,2,0,0
35.5,3,0,0
36.0,4,0,0
36.5,1,0,0
37.0,2,0,0
37.6,3,0,0
38.1,2,0,0
38.6,3,0,0
39.1,1,0,0
39.7,4,0,0
40.2,2,0,0
40.8,3,0,0
41.3,1,0,0
41.9,4,0,0
42.4,2,0,0
43.0,3,0,0
43.5,2,0,0
44.1,3,0,0
44.6,4,0,0
45.1,3,0,0
45.7,2,0,0
46.2,1,0,0
46.7,3,0,0
47.3,2,0,0
48.0,3,1,1.6
49.5,2,1,0.4
49.8,1,0,0
50.0,2,1,0.3
50.3,3,1,1.2
50.4,4,0,0
51.6,2,0,0
51.8,1,0,0
52.0,2,0,0
52.3,3,1,1.4
53.8,4,1,0.3
54.0,2,0,0
54.3,1,0,0
54.5,3,1,1.2
56.0,2,0,0
56.2,3,0,0
56.5,1,0,0
56.8,2,0,0
57.3,4,0,0
58.1,3,0,0
58.4,2,0,0
58.6,3,0,0
59.0,4,0,0
59.5,3,0,0
60.4,2,0,0
60.6,1,0,0
60.8,2,0,0
61.1,3,0,0
61.6,2,0,0
63.3,4,0,0
63.8,3,0,0
64.3,2,0,0
64.8,1,0,0
65.4,1,1,4.3
65.4,2,0,0
66.5,3,0,0
67.7,3,0,0
68.8,3,0,0
69.8,2,1,1.6
71.2,3,1,0.3
71.4,4,1,0.3
71.7,3,0,0
72,2,1,1.3
73.3,1,1,0.4
73.6,2,0,0
74.1,3,1,1.0
75.5,2,0,0
75.7,3,0,0
76.0,4,0,0
76.6,4,1,1.5
78.5,3,1,1.3
79.9,2,0,0
80.2,3,0,0
80.5,4,0,0
80.8,2,1,1.2
82.1,3,0,0
82.3,4,0,0
82.6,3,0,0
82.8,2,1,1.2
84.3,1,0,0
84.6,2,0,0
84.8,3,0,0
85.1,2,1,2.0
87.3,3,1,3.5
88.5,2,1,3.2
89.4,1,1,4.4
93.9,2,1,2.1
96.0,3,1,1.5
97.5,4,0,0
97.6,2,0,0
97.9,2,0,0
98.2,1,1,1.3
99.5,2,0,0
99.8,4,0,0
100.1,4,0,0
100.3,3,1,1.3
101.8,2,0,0
102.1,4,0,0
102.3,3,0,0
102.6,3,1,0.3
103.1,2,0,0
103.6,1,0,0
104.1,2,0,0
104.8,3,1,4.0
108.3,4,0,0
110.3,2,1,0.7
110.7,3,0,0
110.8,4,0,0
111.0,3,0,0
111.3,2,0,0
111.5,1,0,0
111.7,3,0,0
111.9,2,0,0
112.0,1,0,0
112.2,2,0,0
112.5,3,0,0
112.7,4,0,0
113.1,3,1,2.9
116.4,3,1,0.7
117.5,2,1,0.5
118.5,2,1,3.8
118.5,3,1,4.0
121.8,1,0,0
